full_part_number,section,subsection,position_details
EGVFMS25,How to order RR (standard density),Housings,Pos1(): Fixed value | Pos2(E): Shell size E | Pos3(G): Rear insert M3 | Pos4(VFM): Front screwlock M3 | Pos5(S): Socket | Pos6(25): Configuration 25
EGVFMS37,How to order RR (standard density),Housings,Pos1(): Fixed value | Pos2(E): Shell size E | Pos3(G): Rear insert M3 | Pos4(VFM): Front screwlock M3 | Pos5(S): Socket | Pos6(37): Configuration 37
EGVFMS50,How to order RR (standard density),Housings,Pos1(): Fixed value | Pos2(E): Shell size E | Pos3(G): Rear insert M3 | Pos4(VFM): Front screwlock M3 | Pos5(S): Socket | Pos6(50): Configuration 50
Eno digitVFP09,How to order RR (standard density),Housings,Pos1(): Fixed value | Pos2(E): Shell size E | Pos3(no digit): Standard rivet Ø3.1mm | Pos4(VF): Front screwlock 4-40 | Pos5(P): Pin | Pos6(09): Configuration 09
Eno digitVFP15,How to order RR (standard density),Housings,Pos1(): Fixed value | Pos2(E): Shell size E | Pos3(no digit): Standard rivet Ø3.1mm | Pos4(VF): Front screwlock 4-40 | Pos5(P): Pin | Pos6(15): Configuration 15
Eno digitVFP25,How to order RR (standard density),Housings,Pos1(): Fixed value | Pos2(E): Shell size E | Pos3(no digit): Standard rivet Ø3.1mm | Pos4(VF): Front screwlock 4-40 | Pos5(P): Pin | Pos6(25): Configuration 25
Eno digitVFP37,How to order RR (standard density),Housings,Pos1(): Fixed value | Pos2(E): Shell size E | Pos3(no digit): Standard rivet Ø3.1mm | Pos4(VF): Front screwlock 4-40 | Pos5(P): Pin | Pos6(37): Configuration 37
Eno digitVFP50,How to order RR (standard density),Housings,Pos1(): Fixed value | Pos2(E): Shell size E | Pos3(no digit): Standard rivet Ø3.1mm | Pos4(VF): Front screwlock 4-40 | Pos5(P): Pin | Pos6(50): Configuration 50
Eno digitVFS09,How to order RR (standard density),Housings,Pos1(): Fixed value | Pos2(E): Shell size E | Pos3(no digit): Standard rivet Ø3.1mm | Pos4(VF): Front screwlock 4-40 | Pos5(S): Socket | Pos6(09): Configuration 09
Eno digitVFS15,How to order RR (standard density),Housings,Pos1(): Fixed value | Pos2(E): Shell size E | Pos3(no digit): Standard rivet Ø3.1mm | Pos4(VF): Front screwlock 4-40 | Pos5(S): Socket | Pos6(15): Configuration 15
