full_part_number,section,subsection,position_details
0920501,How to order,,Pos1(): Fixed value | Pos2(): Fixed value | Pos3(09): 9 contacts | Pos4(2): Socket | Pos5(0): Gold flash | Pos6(5): M3 screwlock installed | Pos7(0): Without boardlock | Pos8(1): Tin over nickel
0920511,How to order,,Pos1(): Fixed value | Pos2(): Fixed value | Pos3(09): 9 contacts | Pos4(2): Socket | Pos5(0): Gold flash | Pos6(5): M3 screwlock installed | Pos7(1): With boardlock | Pos8(1): Tin over nickel
0921001,How to order,,"Pos1(): Fixed value | Pos2(): Fixed value | Pos3(09): 9 contacts | Pos4(2): Socket | Pos5(1): 0.4 µm (15µ"") | Pos6(0): 3.10mm clear hole | Pos7(0): Without boardlock | Pos8(1): Tin over nickel"
0921011,How to order,,"Pos1(): Fixed value | Pos2(): Fixed value | Pos3(09): 9 contacts | Pos4(2): Socket | Pos5(1): 0.4 µm (15µ"") | Pos6(0): 3.10mm clear hole | Pos7(1): With boardlock | Pos8(1): Tin over nickel"
0921101,How to order,,"Pos1(): Fixed value | Pos2(): Fixed value | Pos3(09): 9 contacts | Pos4(2): Socket | Pos5(1): 0.4 µm (15µ"") | Pos6(1): #4-40 threaded hole | Pos7(0): Without boardlock | Pos8(1): Tin over nickel"
0921111,How to order,,"Pos1(): Fixed value | Pos2(): Fixed value | Pos3(09): 9 contacts | Pos4(2): Socket | Pos5(1): 0.4 µm (15µ"") | Pos6(1): #4-40 threaded hole | Pos7(1): With boardlock | Pos8(1): Tin over nickel"
0921201,How to order,,"Pos1(): Fixed value | Pos2(): Fixed value | Pos3(09): 9 contacts | Pos4(2): Socket | Pos5(1): 0.4 µm (15µ"") | Pos6(2): #4-40 UNC screwlock installed | Pos7(0): Without boardlock | Pos8(1): Tin over nickel"
0921211,How to order,,"Pos1(): Fixed value | Pos2(): Fixed value | Pos3(09): 9 contacts | Pos4(2): Socket | Pos5(1): 0.4 µm (15µ"") | Pos6(2): #4-40 UNC screwlock installed | Pos7(1): With boardlock | Pos8(1): Tin over nickel"
0921401,How to order,,"Pos1(): Fixed value | Pos2(): Fixed value | Pos3(09): 9 contacts | Pos4(2): Socket | Pos5(1): 0.4 µm (15µ"") | Pos6(4): M3 threaded hole | Pos7(0): Without boardlock | Pos8(1): Tin over nickel"
0921411,How to order,,"Pos1(): Fixed value | Pos2(): Fixed value | Pos3(09): 9 contacts | Pos4(2): Socket | Pos5(1): 0.4 µm (15µ"") | Pos6(4): M3 threaded hole | Pos7(1): With boardlock | Pos8(1): Tin over nickel"
0921501,How to order,,"Pos1(): Fixed value | Pos2(): Fixed value | Pos3(09): 9 contacts | Pos4(2): Socket | Pos5(1): 0.4 µm (15µ"") | Pos6(5): M3 screwlock installed | Pos7(0): Without boardlock | Pos8(1): Tin over nickel"
0921511,How to order,,"Pos1(): Fixed value | Pos2(): Fixed value | Pos3(09): 9 contacts | Pos4(2): Socket | Pos5(1): 0.4 µm (15µ"") | Pos6(5): M3 screwlock installed | Pos7(1): With boardlock | Pos8(1): Tin over nickel"
0922001,How to order,,"Pos1(): Fixed value | Pos2(): Fixed value | Pos3(09): 9 contacts | Pos4(2): Socket | Pos5(2): 0.76 µm (30µ"") | Pos6(0): 3.10mm clear hole | Pos7(0): Without boardlock | Pos8(1): Tin over nickel"
